commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,373204,-46594,-6303,2032,-2262,-174,-960,-8426,-18814,-17157,-2063,-5065,-6362,71677,56628,67847,7066,11879,70748,134616,73244,26134,33458,21132,74.0,75.0,21.0,9.0,18.0,41.0,80.0,67.0,48.0,48.0,48.0,13.8,16.3,21.9,25.7,11.2,10.1,18.5,18.5
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,360935,-46594,-6303,2032,-2262,-174,-960,-8426,-18814,-17157,-2063,-5065,-6362,69693,53696,66730,6862,11505,65899,132866,71656,28180,33564,17544,74.0,72.0,23.0,7.0,17.0,41.0,80.0,67.0,51.0,45.0,48.0,14.1,16.8,22.5,26.3,11.5,10.3,18.9,19.0
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,12269,-46594,-6303,2032,-2262,-174,-960,-8426,-18814,-17157,-2063,-5065,-6362,1984,2932,1491,578,0,6185,3086,252,378,2318,1164,16.0,34.0,6.0,6.0,0.0,8.0,10.0,,5.0,12.0,10.0,58.7,31.5,76.8,48.5,58.7,30.9,73.1,46.4
WHEAT-HRW,CHICAGO BOARD OF TRADE,"June 24, 2025",,All,61507,-6713,-5687,-112,-251,-161,-1,3138,-5084,-1224,-1192,452,-274,24016,29645,3352,730,246,13086,13154,5109,3266,1233,2875,46.0,40.0,5.0,,4.0,15.0,17.0,13.0,4.0,7.0,9.0,15.5,27.1,27.7,39.9,13.8,24.2,22.4,35.9
WHEAT-HRW,CHICAGO BOARD OF TRADE,"June 24, 2025",,Old,6614,-6713,-5687,-112,-251,-161,-1,3138,-5084,-1224,-1192,452,-274,3020,5468,0,9,0,1345,25,0,578,63,0,17.0,19.0,0.0,,0.0,4.0,,0.0,4.0,,0.0,48.0,62.5,60.4,73.8,48.0,62.2,59.6,71.8
WHEAT-HRW,CHICAGO BOARD OF TRADE,"June 24, 2025",,Other,54893,-6713,-5687,-112,-251,-161,-1,3138,-5084,-1224,-1192,452,-274,20996,24177,3361,730,237,11749,13137,5101,3266,1748,2297,43.0,36.0,5.0,,,14.0,18.0,13.0,4.0,8.0,8.0,16.6,27.6,28.5,39.9,14.8,27.2,23.5,37.0
CORN,CHICAGO BOARD OF TRADE,"June 24, 2025",,All,1534968,-57509,-8598,-28806,-8076,-2479,4361,1939,8263,-3305,-23343,-6341,-23537,417739,516055,258634,16790,33915,173552,348948,199779,115753,70927,177080,301.0,305.0,27.0,7.0,18.0,61.0,85.0,88.0,64.0,69.0,82.0,10.5,11.3,17.5,17.4,8.5,7.8,14.3,12.6
CORN,CHICAGO BOARD OF TRADE,"June 24, 2025",,Old,725114,-57509,-8598,-28806,-8076,-2479,4361,1939,8263,-3305,-23343,-6341,-23537,222942,258978,117484,10041,2436,153631,210625,34273,96403,141892,11840,239.0,217.0,22.0,10.0,7.0,44.0,64.0,37.0,64.0,59.0,21.0,14.3,18.9,23.3,26.4,14.2,17.5,23.1,24.8
CORN,CHICAGO BOARD OF TRADE,"June 24, 2025",,Other,809854,-57509,-8598,-28806,-8076,-2479,4361,1939,8263,-3305,-23343,-6341,-23537,194797,257077,149968,15567,22661,134495,252897,50932,147155,56840,37435,191.0,261.0,25.0,5.0,12.0,62.0,61.0,51.0,62.0,58.0,40.0,14.9,12.0,23.1,21.8,14.6,11.7,21.1,21.3
ROUGH RICE,CHICAGO BOARD OF TRADE,"June 24, 2025",,All,8557,-681,-331,23,0,0,0,-19,-526,51,23,108,-93,4177,2202,0,96,0,313,3554,137,1880,554,332,19.0,15.0,0.0,,0.0,,18.0,,15.0,6.0,5.0,32.4,28.3,46.3,44.3,32.4,28.3,46.3,43.2
