commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,475725,-2303,-1434,1306,-225,54,7777,-10090,-16776,206,-2410,3405,2789,88847,57054,69853,5585,28275,83094,176949,111921,32107,37007,25404,88.0,70.0,23.0,7.0,14.0,47.0,81.0,67.0,47.0,42.0,45.0,13.8,16.5,22.8,26.4,9.0,10.9,15.1,18.1
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,465706,-2303,-1434,1306,-225,54,7777,-10090,-16776,206,-2410,3405,2789,86773,54586,69353,5825,27787,81804,177908,109424,34362,37240,20717,88.0,69.0,23.0,7.0,14.0,47.0,81.0,67.0,50.0,41.0,45.0,14.1,16.9,23.1,26.9,9.2,11.1,15.4,18.4
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,10019,-2303,-1434,1306,-225,54,7777,-10090,-16776,206,-2410,3405,2789,2074,2468,988,248,0,3787,1538,0,1155,3177,1277,14.0,26.0,5.0,,0.0,7.0,7.0,0.0,4.0,13.0,9.0,56.4,44.5,72.6,61.3,52.9,43.7,67.3,57.5
WHEAT-HRW,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,81615,892,-1103,3193,-332,503,-133,2437,-1150,-564,1065,-1159,810,42368,20809,3880,1170,517,11440,41993,4908,3839,806,3216,54.0,39.0,6.0,,6.0,16.0,24.0,11.0,9.0,6.0,10.0,13.8,33.3,23.5,45.6,11.1,33.3,20.2,45.1
WHEAT-HRW,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,44237,892,-1103,3193,-332,503,-133,2437,-1150,-564,1065,-1159,810,21305,5857,929,266,0,8966,31283,1273,5399,763,0,39.0,20.0,4.0,4.0,0.0,14.0,24.0,5.0,13.0,4.0,0.0,19.9,44.7,32.8,59.0,19.4,44.7,32.4,58.9
WHEAT-HRW,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,37378,892,-1103,3193,-332,503,-133,2437,-1150,-564,1065,-1159,810,21063,14952,2976,929,492,4528,12764,1581,916,2519,740,42.0,36.0,6.0,,4.0,8.0,12.0,6.0,4.0,8.0,5.0,20.4,32.5,36.0,46.0,19.9,31.5,31.6,43.8
CORN,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,1654814,16858,12271,-4010,-2247,484,2564,-5163,-10497,13731,-12789,1326,11302,435332,644339,282082,20511,48797,184967,275116,241607,139410,69594,187555,288.0,334.0,28.0,8.0,23.0,69.0,64.0,91.0,64.0,73.0,87.0,12.3,11.0,20.1,16.9,9.3,7.2,15.3,11.6
CORN,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,998949,16858,12271,-4010,-2247,484,2564,-5163,-10497,13731,-12789,1326,11302,260738,362151,173014,8283,25327,219591,280800,75759,141821,145657,18346,229.0,270.0,25.0,10.0,14.0,67.0,66.0,62.0,71.0,64.0,39.0,12.1,17.9,20.8,26.8,12.1,16.2,20.2,23.2
CORN,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,655865,16858,12271,-4010,-2247,484,2564,-5163,-10497,13731,-12789,1326,11302,174594,282188,115164,18324,17374,102648,131588,28576,132927,59275,33871,174.0,286.0,21.0,11.0,9.0,53.0,40.0,31.0,52.0,63.0,38.0,22.3,14.1,31.5,23.0,22.3,13.8,29.4,22.7
ROUGH RICE,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,11018,-1081,-497,95,0,-9,0,3,-625,72,-64,-327,-309,5176,1715,0,139,0,514,5921,162,2177,498,485,18.0,16.0,0.0,,0.0,,20.0,,14.0,5.0,5.0,29.3,25.6,43.4,43.2,29.3,25.6,43.4,43.2
