commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
ROUGH RICE,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,9258,-1081,-497,95,0,-9,0,3,-625,72,-64,-327,-309,4597,1175,0,108,0,581,5885,23,1955,483,0,15.0,7.0,0.0,,0.0,,20.0,,15.0,5.0,0.0,31.7,30.0,47.2,50.6,31.7,30.0,47.2,50.6
ROUGH RICE,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,1760,-1081,-497,95,0,-9,0,3,-625,72,-64,-327,-309,579,540,0,31,0,72,175,0,698,491,9,5.0,14.0,0.0,,0.0,,,0.0,5.0,,,56.0,39.6,71.6,55.5,56.0,39.4,71.4,54.9
LEAN HOGS,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,All,315752,7470,74,1903,200,2338,891,3405,426,5003,-212,-1215,-1345,25865,136082,64181,8616,8834,100541,9755,52186,23079,55162,19026,66.0,85.0,19.0,7.0,13.0,75.0,20.0,57.0,41.0,38.0,59.0,16.0,21.1,26.3,31.7,14.3,19.6,22.1,29.2
LEAN HOGS,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Old,237591,7470,74,1903,200,2338,891,3405,426,5003,-212,-1215,-1345,17291,97333,48360,4893,8112,78860,20136,38277,19833,39152,12197,37.0,80.0,18.0,7.0,12.0,70.0,28.0,51.0,32.0,49.0,44.0,16.0,23.8,26.9,33.9,16.0,20.9,24.5,30.9
LEAN HOGS,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Other,78161,7470,74,1903,200,2338,891,3405,426,5003,-212,-1215,-1345,8574,38749,16487,4389,56,32500,438,3090,5777,18541,4298,47.0,64.0,17.0,6.0,,39.0,,14.0,27.0,22.0,30.0,22.9,23.8,35.7,36.3,22.4,23.4,35.1,35.6
LIVE CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,All,400447,9635,6342,2985,-507,-31,507,-569,1817,1974,2550,2936,-290,59219,183566,50941,4123,4121,152381,28730,49155,43651,66658,11037,91.0,173.0,15.0,5.0,7.0,99.0,21.0,63.0,52.0,46.0,50.0,11.9,14.9,21.5,24.5,11.7,14.4,19.8,23.8
LIVE CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Old,400447,9635,6342,2985,-507,-31,507,-569,1817,1974,2550,2936,-290,59219,183566,50941,4123,4121,152381,28730,49155,43651,66658,11037,91.0,173.0,15.0,5.0,7.0,99.0,21.0,63.0,52.0,46.0,50.0,11.9,14.9,21.5,24.5,11.7,14.4,19.8,23.8
LIVE CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Other,0,9635,6342,2985,-507,-31,507,-569,1817,1974,2550,2936,-290,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,All,22120,1218,378,1035,77,482,307,255,-468,-154,60,-411,-121,10036,8581,3294,1941,1003,1552,296,588,2234,5776,408,20.0,29.0,5.0,,4.0,12.0,,,7.0,14.0,11.0,44.3,41.8,60.4,53.3,44.1,34.1,55.4,45.0
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Old,22120,1218,378,1035,77,482,307,255,-468,-154,60,-411,-121,10036,8581,3294,1941,1003,1552,296,588,2234,5776,408,20.0,29.0,5.0,,4.0,12.0,,,7.0,14.0,11.0,44.3,41.8,60.4,53.3,44.1,34.1,55.4,45.0
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Other,0,1218,378,1035,77,482,307,255,-468,-154,60,-411,-121,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,All,10207,150,301,165,9,-1,10,1,-27,4,-2,30,-5,8130,6347,117,1122,461,65,99,178,0,938,486,28.0,20.0,,4.0,4.0,,,,0.0,9.0,7.0,51.2,41.6,61.2,62.8,51.2,38.2,60.6,54.3
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Old,10207,150,301,165,9,-1,10,1,-27,4,-2,30,-5,8130,6347,117,1122,461,65,99,178,0,938,486,28.0,20.0,,4.0,4.0,,,,0.0,9.0,7.0,51.2,41.6,61.2,62.8,51.2,38.2,60.6,54.3
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Other,0,150,301,165,9,-1,10,1,-27,4,-2,30,-5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,All,19405,417,10,551,179,0,-112,121,-161,-13,49,128,51,9010,13461,7546,0,265,613,400,445,232,3491,552,27.0,29.0,4.0,0.0,,6.0,,,5.0,5.0,6.0,44.4,37.1,69.0,59.8,43.0,36.8,65.5,57.8
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Old,19405,417,10,551,179,0,-112,121,-161,-13,49,128,51,9010,13461,7546,0,265,613,400,445,232,3491,552,27.0,29.0,4.0,0.0,,6.0,,,5.0,5.0,6.0,44.4,37.1,69.0,59.8,43.0,36.8,65.5,57.8
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"May 27, 2025",,Other,0,417,10,551,179,0,-112,121,-161,-13,49,128,51,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOYBEANS,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,859854,14994,4589,28937,-2616,-544,3751,15737,-13852,-3266,-763,4178,-2925,261065,441009,135217,16409,25807,141474,80555,125585,53539,41897,67073,136.0,190.0,27.0,12.0,25.0,72.0,49.0,73.0,65.0,68.0,81.0,12.1,17.6,20.3,27.1,7.6,14.0,13.4,20.1
SOYBEANS,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,395573,14994,4589,28937,-2616,-544,3751,15737,-13852,-3266,-763,4178,-2925,126262,188981,67512,14135,3500,99588,89984,29042,39919,34386,7100,97.0,155.0,23.0,16.0,6.0,58.0,50.0,43.0,60.0,61.0,30.0,18.7,19.7,30.8,31.3,17.3,17.8,28.8,27.9
SOYBEANS,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,464281,14994,4589,28937,-2616,-544,3751,15737,-13852,-3266,-763,4178,-2925,134803,252028,77698,12267,12314,101899,50584,36530,39017,32908,34576,100.0,156.0,22.0,14.0,21.0,59.0,27.0,35.0,48.0,57.0,57.0,11.4,25.1,20.7,34.2,11.0,19.8,19.2,26.8
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,601583,6676,4163,-1464,-343,753,3769,-3909,-2891,-962,-1297,3519,4698,133020,308310,117188,11599,20203,103507,48929,99250,43065,36558,52439,81.0,87.0,23.0,9.0,19.0,76.0,34.0,60.0,41.0,40.0,48.0,10.5,19.3,17.9,28.4,9.7,16.6,16.4,23.7
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,321890,6676,4163,-1464,-343,753,3769,-3909,-2891,-962,-1297,3519,4698,85111,131866,32305,15835,7125,89092,70347,37790,44352,36568,6453,70.0,73.0,17.0,15.0,11.0,67.0,42.0,43.0,48.0,35.0,28.0,13.2,12.7,23.2,22.4,13.2,10.6,22.1,17.7
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,279693,6676,4163,-1464,-343,753,3769,-3909,-2891,-962,-1297,3519,4698,47909,176444,95603,6484,2358,60074,24241,15801,21909,23186,22790,53.0,67.0,21.0,5.0,7.0,48.0,13.0,23.0,32.0,28.0,27.0,13.3,29.6,24.3,43.6,13.2,27.9,23.9,41.4
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"May 27, 2025",,All,18354,534,534,-389,0,1013,30,0,0,0,-150,-240,120,12850,7845,322,6454,450,259,0,621,1552,724,2240,8.0,9.0,,5.0,,,0.0,,,,,71.6,65.7,85.4,85.4,50.4,46.0,57.3,54.1
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"May 27, 2025",,Old,18354,534,534,-389,0,1013,30,0,0,0,-150,-240,120,12850,7845,322,6454,450,259,0,621,1552,724,2240,8.0,9.0,,5.0,,,0.0,,,,,71.6,65.7,85.4,85.4,50.4,46.0,57.3,54.1
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"May 27, 2025",,Other,0,534,534,-389,0,1013,30,0,0,0,-150,-240,120,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANOLA,ICE FUTURES U.S.,"May 27, 2025",,All,267361,13066,-7374,10544,1767,1020,0,14700,-1675,-98,1843,765,2174,81822,179734,11184,13858,0,127991,22380,15982,12959,17881,15702,29.0,52.0,6.0,4.0,0.0,86.0,12.0,17.0,52.0,63.0,28.0,25.3,29.9,38.5,48.4,24.3,29.3,37.0,46.4
CANOLA,ICE FUTURES U.S.,"May 27, 2025",,Old,140183,13066,-7374,10544,1767,1020,0,14700,-1675,-98,1843,765,2174,24890,98112,4527,2196,0,99560,23732,1388,8775,13988,0,19.0,34.0,6.0,,0.0,77.0,14.0,6.0,40.0,32.0,0.0,25.1,35.5,46.0,58.7,25.1,35.5,45.9,58.7
CANOLA,ICE FUTURES U.S.,"May 27, 2025",,Other,127178,13066,-7374,10544,1767,1020,0,14700,-1675,-98,1843,765,2174,56932,81622,6657,11662,0,40543,10760,2482,9579,9288,10307,20.0,42.0,,4.0,0.0,36.0,8.0,7.0,34.0,52.0,13.0,39.2,38.9,56.7,59.4,36.6,38.3,48.1,52.9
COTTON NO. 2,ICE FUTURES U.S.,"May 27, 2025",,All,235156,-839,-1196,-1719,231,640,877,-292,2375,-3115,975,-1484,772,53811,63274,56250,15327,5476,33345,77898,30261,30007,14818,13823,53.0,40.0,26.0,7.0,14.0,44.0,81.0,52.0,43.0,36.0,34.0,13.0,14.5,21.8,23.0,12.1,12.7,19.8,19.9
COTTON NO. 2,ICE FUTURES U.S.,"May 27, 2025",,Old,109649,-839,-1196,-1719,231,640,877,-292,2375,-3115,975,-1484,772,27590,13439,15443,9237,6,33663,54965,6286,20896,16418,0,45.0,13.0,17.0,13.0,,43.0,72.0,30.0,38.0,30.0,0.0,19.2,17.9,30.8,29.0,17.5,17.9,28.8,29.0
COTTON NO. 2,ICE FUTURES U.S.,"May 27, 2025",,Other,125507,-839,-1196,-1719,231,640,877,-292,2375,-3115,975,-1484,772,26221,49835,46071,11354,206,19539,42790,4118,20578,9867,2356,33.0,39.0,22.0,8.0,,32.0,46.0,24.0,37.0,21.0,18.0,19.3,26.0,32.0,38.1,19.3,25.2,31.6,37.1
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"May 27, 2025",,All,8847,-170,28,87,-21,0,27,-10,-114,26,-176,-76,-42,1802,4968,442,0,92,1981,1446,36,2482,108,466,7.0,6.0,,0.0,,5.0,10.0,,9.0,4.0,7.0,35.9,46.6,52.1,62.9,35.9,45.2,51.7,60.7
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"May 27, 2025",,Old,8437,-170,28,87,-21,0,27,-10,-114,26,-176,-76,-42,1544,4719,441,0,92,1981,1446,36,2494,107,382,7.0,6.0,,0.0,,5.0,10.0,,9.0,4.0,6.0,35.9,46.0,53.0,63.0,35.9,45.1,53.0,61.8
FRZN CONCENTRATED ORANGE JUICE,ICE FUTURES U.S.,"May 27, 2025",,Other,410,-170,28,87,-21,0,27,-10,-114,26,-176,-76,-42,258,249,1,0,0,0,0,0,69,82,3,,,,0.0,0.0,0.0,0.0,0.0,,,,79.5,81.0,80.7,81.5,79.5,80.2,80.0,80.7
COCOA,ICE FUTURES U.S.,"May 27, 2025",,All,101488,-2936,-295,-3165,-175,-109,722,-2493,479,-74,-182,-350,-427,24610,47500,8806,11987,2832,25375,6278,12497,8198,6183,8440,28.0,25.0,12.0,6.0,12.0,45.0,12.0,32.0,25.0,15.0,24.0,15.9,30.4,25.5,44.8,10.6,24.6,17.6,34.8
COCOA,ICE FUTURES U.S.,"May 27, 2025",,Old,62645,-2936,-295,-3165,-175,-109,722,-2493,479,-74,-182,-350,-427,16033,27870,5460,10023,561,18897,9515,2206,8275,4496,3521,24.0,21.0,10.0,7.0,4.0,47.0,13.0,25.0,26.0,13.0,17.0,18.1,41.5,27.5,56.1,11.8,38.5,20.3,48.9
COCOA,ICE FUTURES U.S.,"May 27, 2025",,Other,38843,-2936,-295,-3165,-175,-109,722,-2493,479,-74,-182,-350,-427,8577,19630,4157,2775,1460,14295,4580,2474,3727,5491,1115,20.0,20.0,13.0,4.0,5.0,18.0,17.0,13.0,12.0,12.0,13.0,26.0,32.5,40.3,51.1,24.1,31.8,37.5,48.7
SUGAR NO. 11,ICE FUTURES U.S.,"May 27, 2025",,All,824628,19255,5738,-2992,-604,-921,557,2524,15347,8813,4500,605,-2117,276878,298954,112448,102997,39091,136188,125780,79693,73434,64339,44807,63.0,53.0,15.0,13.0,19.0,40.0,42.0,45.0,38.0,15.0,31.0,17.4,23.1,26.6,35.0,10.5,14.8,16.4,23.1
SUGAR NO. 11,ICE FUTURES U.S.,"May 27, 2025",,Old,824628,19255,5738,-2992,-604,-921,557,2524,15347,8813,4500,605,-2117,276878,298954,112448,102997,39091,136188,125780,79693,73434,64339,44807,63.0,53.0,15.0,13.0,19.0,40.0,42.0,45.0,38.0,15.0,31.0,17.4,23.1,26.6,35.0,10.5,14.8,16.4,23.1
SUGAR NO. 11,ICE FUTURES U.S.,"May 27, 2025",,Other,0,19255,5738,-2992,-604,-921,557,2524,15347,8813,4500,605,-2117,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COFFEE C,ICE FUTURES U.S.,"May 27, 2025",,All,153055,2937,3830,997,464,9,450,-2096,431,-281,131,389,840,39528,65174,17534,34302,5129,42224,5270,18545,9905,6344,12498,63.0,77.0,15.0,23.0,19.0,79.0,25.0,52.0,35.0,37.0,43.0,13.6,19.2,21.8,32.1,9.2,17.6,15.7,26.5
COFFEE C,ICE FUTURES U.S.,"May 27, 2025",,Old,98409,2937,3830,997,464,9,450,-2096,431,-281,131,389,840,23986,39343,11017,24138,1826,33276,9120,7786,10136,6460,4871,43.0,74.0,15.0,23.0,10.0,71.0,32.0,41.0,37.0,36.0,22.0,17.0,23.5,24.8,34.2,11.3,21.3,18.8,29.7
COFFEE C,ICE FUTURES U.S.,"May 27, 2025",,Other,54646,2937,3830,997,464,9,450,-2096,431,-281,131,389,840,15542,25831,7836,11483,1984,14835,2037,4872,4694,4809,2702,56.0,54.0,15.0,18.0,10.0,39.0,14.0,16.0,20.0,25.0,20.0,19.8,22.9,32.7,38.4,14.8,20.4,23.6,34.1
