commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
LIVE CATTLE,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Old,402195,-1496,-625,-2388,549,280,-143,-786,563,-1516,437,1316,243,58741,189835,53899,6790,1490,158173,33227,45470,39977,58293,13166,96,168,15.0,6.0,9.0,98.0,23.0,57.0,55.0,50.0,63.0,10.6,16.8,19.0,25.7,10.5,16.2,17.8,25.0
LIVE CATTLE,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Other,0,-1496,-625,-2388,549,280,-143,-786,563,-1516,437,1316,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,All,24596,1409,523,213,80,-131,37,266,593,-33,108,271,104,11958,7666,3578,1120,1426,1315,4088,207,2185,5845,570,26,24,4.0,,,,13.0,,7.0,15.0,11.0,42.6,37.8,64.6,50.2,42.6,31.9,60.1,42.2
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Old,24596,1409,523,213,80,-131,37,266,593,-33,108,271,104,11958,7666,3578,1120,1426,1315,4088,207,2185,5845,570,26,24,4.0,,,,13.0,,7.0,15.0,11.0,42.6,37.8,64.6,50.2,42.6,31.9,60.1,42.2
FEEDER CATTLE,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Other,0,1409,523,213,80,-131,37,266,593,-33,108,271,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,All,9778,298,262,161,92,-10,3,26,-5,-7,0,198,-44,8103,5415,146,1860,402,26,141,102,0,1098,62,26,15,,,4.0,,,,0.0,4.0,4.0,56.5,49.2,68.2,68.8,56.5,47.0,67.0,65.0
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Old,9778,298,262,161,92,-10,3,26,-5,-7,0,198,-44,8103,5415,146,1860,402,26,141,102,0,1098,62,26,15,,,4.0,,,,0.0,4.0,4.0,56.5,49.2,68.2,68.8,56.5,47.0,67.0,65.0
NON FAT DRY MILK,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Other,0,298,262,161,92,-10,3,26,-5,-7,0,198,-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,All,22596,998,604,286,519,0,-5,22,369,6,-74,469,-47,11292,14842,8517,0,334,52,2613,328,845,2893,758,30,29,4.0,0.0,,,14.0,,6.0,6.0,7.0,41.2,37.8,66.6,58.4,39.7,37.6,64.6,54.9
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Old,22596,998,604,286,519,0,-5,22,369,6,-74,469,-47,11292,14842,8517,0,334,52,2613,328,845,2893,758,30,29,4.0,0.0,,,14.0,,6.0,6.0,7.0,41.2,37.8,66.6,58.4,39.7,37.6,64.6,54.9
