commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,488488,1761,-3095,-3667,-3301,-316,2650,-926,-1904,5265,-1273,-1136,2867,81165,71571,69208,8826,24844,95374,192570,128757,36741,10536,23128,72.0,75.0,24.0,4.0,15.0,54.0,84.0,75.0,64.0,30.0,43.0,14.0,15.9,22.6,26.2,9.6,11.1,14.7,18.6
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,379082,1761,-3095,-3667,-3301,-316,2650,-926,-1904,5265,-1273,-1136,2867,65185,49160,36193,15986,16232,101698,169338,86574,41578,12485,7738,63.0,67.0,19.0,9.0,13.0,55.0,81.0,65.0,62.0,32.0,25.0,16.3,17.5,25.3,28.2,10.2,12.7,16.1,21.0
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,109406,1761,-3095,-3667,-3301,-316,2650,-926,-1904,5265,-1273,-1136,2867,15980,22411,40187,12,1440,25002,54558,10857,6151,9039,4402,46.0,56.0,18.0,,6.0,26.0,32.0,23.0,23.0,25.0,17.0,23.0,28.5,38.3,44.8,22.9,28.0,38.0,44.1
WHEAT-HRW,CHICAGO BOARD OF TRADE,"December 30, 2025",,All,68168,-1070,-2328,-73,826,179,-1,363,-838,147,572,10,133,34175,21388,4022,1330,526,9718,28703,2705,3846,458,4303,40.0,38.0,4.0,4.0,,11.0,22.0,10.0,7.0,5.0,7.0,18.0,29.6,30.6,44.1,17.2,26.4,29.2,40.3
WHEAT-HRW,CHICAGO BOARD OF TRADE,"December 30, 2025",,Old,63062,-1070,-2328,-73,826,179,-1,363,-838,147,572,10,133,30131,19276,3996,1330,422,10032,28595,2176,5159,435,2942,38.0,35.0,4.0,4.0,,11.0,22.0,10.0,9.0,,6.0,18.8,30.1,31.2,45.7,18.0,28.3,29.1,41.9
WHEAT-HRW,CHICAGO BOARD OF TRADE,"December 30, 2025",,Other,5106,-1070,-2328,-73,826,179,-1,363,-838,147,572,10,133,4044,2112,40,14,90,215,637,0,0,1336,48,17.0,17.0,,,,,,0.0,0.0,4.0,,61.3,60.2,74.5,74.1,60.4,59.7,72.2,73.3
CORN,CHICAGO BOARD OF TRADE,"December 30, 2025",,All,1543015,26463,18742,-1430,-4008,1515,8491,-1738,22802,5573,2612,-10248,-6246,409465,669207,250695,17304,39617,219452,242200,234137,142923,66983,113266,251.0,343.0,24.0,8.0,18.0,65.0,81.0,88.0,80.0,65.0,69.0,10.5,9.8,18.6,15.6,8.8,5.1,15.3,9.2
CORN,CHICAGO BOARD OF TRADE,"December 30, 2025",,Old,1331618,26463,18742,-1430,-4008,1515,8491,-1738,22802,5573,2612,-10248,-6246,346149,593426,234434,8457,31206,220600,232998,186528,157791,110753,32636,241.0,332.0,23.0,9.0,15.0,68.0,79.0,83.0,84.0,61.0,59.0,10.7,10.1,19.1,16.4,10.3,8.8,17.8,13.2
CORN,CHICAGO BOARD OF TRADE,"December 30, 2025",,Other,211397,26463,18742,-1430,-4008,1515,8491,-1738,22802,5573,2612,-10248,-6246,63316,75781,23335,15921,1337,43432,53782,3029,62537,33635,3225,80.0,255.0,11.0,8.0,,15.0,32.0,10.0,18.0,48.0,20.0,41.8,21.7,53.7,34.0,41.8,21.7,53.7,33.3
ROUGH RICE,CHICAGO BOARD OF TRADE,"December 30, 2025",,All,13941,690,282,215,-29,2,0,332,116,0,84,90,-41,7036,2206,160,193,0,1264,7881,0,1898,1246,379,18.0,11.0,,,0.0,6.0,26.0,0.0,12.0,8.0,4.0,33.5,27.7,48.0,42.2,33.3,27.7,47.7,41.5
