commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,494400,22131,11771,-2206,3476,29,889,-4255,12557,5080,-784,506,3636,74777,57751,76717,7454,24260,79797,186188,123010,54075,38795,24198,83.0,75.0,22.0,9.0,18.0,60.0,75.0,69.0,69.0,30.0,48.0,12.0,13.3,19.6,24.1,9.9,10.7,15.9,18.8
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,348815,22131,11771,-2206,3476,29,889,-4255,12557,5080,-784,506,3636,54790,37154,28740,18228,10800,107022,159906,57622,55667,36624,5355,77.0,60.0,20.0,11.0,11.0,58.0,73.0,56.0,75.0,28.0,21.0,14.7,16.5,23.2,28.5,14.6,13.6,21.8,24.9
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,145585,22131,11771,-2206,3476,29,889,-4255,12557,5080,-784,506,3636,19987,20597,59151,400,2286,23957,77464,14206,12059,15822,5192,36.0,63.0,19.0,,9.0,26.0,43.0,25.0,23.0,29.0,20.0,20.6,24.0,36.0,38.1,20.6,24.0,35.9,38.1
WHEAT-HRW,CHICAGO BOARD OF TRADE,"January 28, 2025",,All,97160,3375,-61,4682,70,140,125,2227,-1744,487,290,-391,112,43786,29379,3699,991,295,15991,39233,9571,7124,2658,4179,49.0,37.0,8.0,,4.0,16.0,25.0,14.0,17.0,7.0,14.0,15.3,25.3,25.8,39.4,13.4,25.1,22.8,35.9
WHEAT-HRW,CHICAGO BOARD OF TRADE,"January 28, 2025",,Old,89542,3375,-61,4682,70,140,125,2227,-1744,487,290,-391,112,38797,25307,2815,1137,136,16767,39223,8770,8690,2671,2481,48.0,35.0,7.0,,,16.0,25.0,14.0,19.0,7.0,13.0,16.6,27.3,27.7,41.7,14.4,27.1,24.3,38.0
WHEAT-HRW,CHICAGO BOARD OF TRADE,"January 28, 2025",,Other,7618,3375,-61,4682,70,140,125,2227,-1744,487,290,-391,112,4989,4072,1030,0,13,0,786,25,76,1629,56,22.0,22.0,5.0,0.0,,0.0,,,,10.0,4.0,40.9,41.4,58.0,58.5,40.9,41.3,58.0,56.1
CORN,CHICAGO BOARD OF TRADE,"January 28, 2025",,All,1980020,37376,-18048,9831,-13873,106,2234,13651,-8454,44284,16313,-12534,-4917,388998,1074786,346934,17105,44517,438643,94854,357329,178656,78570,106985,262.0,394.0,23.0,13.0,22.0,107.0,45.0,91.0,62.0,95.0,83.0,10.4,9.1,18.0,15.6,9.8,6.8,15.8,11.2
CORN,CHICAGO BOARD OF TRADE,"January 28, 2025",,Old,1708456,37376,-18048,9831,-13873,106,2234,13651,-8454,44284,16313,-12534,-4917,310534,954730,343575,9551,22556,431194,130738,260518,165532,81630,78451,242.0,386.0,23.0,12.0,20.0,109.0,47.0,84.0,60.0,102.0,73.0,11.1,9.6,19.3,16.3,11.1,6.8,18.3,11.5
CORN,CHICAGO BOARD OF TRADE,"January 28, 2025",,Other,271564,37376,-18048,9831,-13873,106,2234,13651,-8454,44284,16313,-12534,-4917,78464,120056,24902,29097,418,94642,51309,9618,36614,20430,5044,106.0,291.0,16.0,12.0,6.0,41.0,23.0,11.0,37.0,62.0,17.0,21.8,19.2,32.6,31.0,21.8,19.0,32.6,30.5
ROUGH RICE,CHICAGO BOARD OF TRADE,"January 28, 2025",,All,10631,-324,-393,517,0,3,0,-106,-1101,0,65,-66,126,6395,4128,0,220,0,385,3585,0,1972,257,392,20.0,13.0,0.0,,0.0,,16.0,0.0,13.0,,6.0,32.2,34.8,51.8,49.3,32.2,34.6,51.6,49.1
