commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,464889,17947,2812,-3526,-3298,-1088,2237,-313,11158,7509,5112,-290,1233,70331,65259,80217,5919,19542,75959,166096,105489,45804,38215,31538,79.0,70.0,22.0,8.0,16.0,53.0,82.0,67.0,76.0,35.0,48.0,12.5,14.1,20.2,23.5,9.9,11.6,16.2,19.3
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,222807,17947,2812,-3526,-3298,-1088,2237,-313,11158,7509,5112,-290,1233,42229,15887,21198,19490,379,74326,113527,18509,45224,39226,423,61.0,39.0,16.0,13.0,,45.0,78.0,32.0,75.0,30.0,5.0,16.3,19.6,26.9,32.7,14.7,19.4,25.3,31.3
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,242082,17947,2812,-3526,-3298,-1088,2237,-313,11158,7509,5112,-290,1233,28102,49372,73286,696,4896,48790,99726,39823,19344,17753,12351,53.0,67.0,21.0,,7.0,41.0,49.0,36.0,39.0,31.0,28.0,16.4,21.1,29.3,32.4,15.7,16.5,27.8,26.3
WHEAT-HRW,CHICAGO BOARD OF TRADE,"March 25, 2025",,All,87059,989,3072,70,290,608,-33,-2501,-1348,345,-520,-58,554,43520,27715,4469,608,12,12077,35796,5699,5702,1370,3305,51.0,30.0,6.0,,,10.0,28.0,13.0,10.0,6.0,10.0,13.8,26.8,24.5,41.4,10.9,26.7,20.7,39.5
WHEAT-HRW,CHICAGO BOARD OF TRADE,"March 25, 2025",,Old,66356,989,3072,70,290,608,-33,-2501,-1348,345,-520,-58,554,32746,16010,2278,609,0,9733,32489,3481,6392,1306,2214,45.0,25.0,5.0,,0.0,10.0,29.0,11.0,14.0,5.0,6.0,17.2,31.1,29.7,43.5,14.7,31.0,27.0,43.2
WHEAT-HRW,CHICAGO BOARD OF TRADE,"March 25, 2025",,Other,20703,989,3072,70,290,608,-33,-2501,-1348,345,-520,-58,554,10774,11705,2192,0,11,3858,4821,704,80,834,321,32.0,25.0,5.0,0.0,,4.0,7.0,,,8.0,5.0,29.8,42.3,47.5,57.3,29.8,42.1,45.4,56.4
CORN,CHICAGO BOARD OF TRADE,"March 25, 2025",,All,1841552,22368,27801,-24066,-8336,2246,4311,-13141,17369,-6310,-12326,-3831,27748,434489,857635,304654,21946,44832,230554,156634,346383,185581,59130,163854,270.0,366.0,25.0,10.0,24.0,79.0,60.0,86.0,73.0,65.0,78.0,11.0,9.6,19.7,15.6,8.6,5.7,14.3,9.5
CORN,CHICAGO BOARD OF TRADE,"March 25, 2025",,Old,1410330,22368,27801,-24066,-8336,2246,4311,-13141,17369,-6310,-12326,-3831,27748,319493,654778,258426,12751,20947,258338,216498,194512,175180,91638,85614,245.0,333.0,23.0,11.0,19.0,74.0,66.0,71.0,75.0,64.0,63.0,11.4,12.5,19.6,19.4,11.0,8.1,18.4,13.7
CORN,CHICAGO BOARD OF TRADE,"March 25, 2025",,Other,431222,22368,27801,-24066,-8336,2246,4311,-13141,17369,-6310,-12326,-3831,27748,114996,202857,57129,20096,12984,109172,77092,14915,80952,38043,7689,120.0,296.0,17.0,9.0,7.0,44.0,33.0,22.0,40.0,62.0,25.0,24.9,18.2,36.3,29.1,24.7,17.8,34.9,27.5
ROUGH RICE,CHICAGO BOARD OF TRADE,"March 25, 2025",,All,12283,-123,-549,-575,0,-2,0,-7,427,72,269,36,-49,6612,2801,0,227,0,374,5938,72,2286,755,605,22.0,18.0,0.0,,0.0,,22.0,,17.0,7.0,7.0,27.9,26.0,46.2,40.6,27.9,24.8,46.1,39.5
