commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,All,447242,-7023,10607,-11770,-3916,-400,-4065,-2633,27722,-8743,2859,-4657,-4049,91676,45849,69490,5711,14513,80133,192349,93823,34607,39199,24812,82.0,61.0,24.0,9.0,16.0,47.0,83.0,61.0,64.0,35.0,39.0,13.5,17.5,22.0,28.9,9.9,13.0,17.1,22.8
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Old,1290,-7023,10607,-11770,-3916,-400,-4065,-2633,27722,-8743,2859,-4657,-4049,371,157,102,0,1,0,0,0,151,972,0,5.0,,,0.0,,0.0,0.0,0.0,,,0.0,35.4,84.5,46.8,87.6,35.4,84.5,46.8,87.5
WHEAT-SRW,CHICAGO BOARD OF TRADE,,,Other,445952,-7023,10607,-11770,-3916,-400,-4065,-2633,27722,-8743,2859,-4657,-4049,91305,45692,69388,5711,14512,80133,192349,93823,34581,38352,24687,81.0,61.0,24.0,9.0,15.0,47.0,83.0,61.0,64.0,35.0,38.0,13.5,17.6,22.0,29.0,9.9,13.1,17.2,22.9
WHEAT-HRW,CHICAGO BOARD OF TRADE,"April 29, 2025",,All,74965,-1887,1822,-3722,-488,-245,-105,21,2553,-807,364,1172,80,39290,22187,3751,1422,348,10589,29703,4141,4396,4945,2674,49.0,32.0,6.0,,4.0,12.0,26.0,13.0,10.0,6.0,10.0,15.3,24.7,26.1,39.4,12.7,23.7,21.8,36.6
WHEAT-HRW,CHICAGO BOARD OF TRADE,"April 29, 2025",,Old,48364,-1887,1822,-3722,-488,-245,-105,21,2553,-807,364,1172,80,23554,8328,1118,1474,0,8927,25460,1984,6307,4975,0,37.0,20.0,5.0,,0.0,11.0,27.0,8.0,15.0,4.0,0.0,21.5,35.5,35.4,49.0,18.3,35.5,31.1,48.1
WHEAT-HRW,CHICAGO BOARD OF TRADE,"April 29, 2025",,Other,26601,-1887,1822,-3722,-488,-245,-105,21,2553,-807,364,1172,80,15736,13859,2685,0,296,3156,5737,663,447,2328,316,38.0,28.0,6.0,0.0,,8.0,12.0,6.0,4.0,8.0,4.0,25.1,29.8,39.7,44.5,23.3,29.3,36.7,41.6
CORN,CHICAGO BOARD OF TRADE,"April 29, 2025",,All,1543934,-164054,-79150,-112577,-3001,-2399,-6048,-26985,19300,-23441,-11691,-13562,-11471,345202,733387,284294,24763,56145,262858,176729,186970,149178,59878,139898,248.0,340.0,21.0,12.0,19.0,82.0,61.0,87.0,56.0,71.0,63.0,12.7,10.1,22.2,16.2,9.6,6.5,17.0,11.3
CORN,CHICAGO BOARD OF TRADE,"April 29, 2025",,Old,1000246,-164054,-79150,-112577,-3001,-2399,-6048,-26985,19300,-23441,-11691,-13562,-11471,204961,484484,211756,11214,21096,241476,179307,74082,152626,119255,15272,211.0,302.0,22.0,11.0,13.0,81.0,55.0,64.0,59.0,62.0,32.0,13.4,13.9,24.2,20.9,13.4,13.0,23.8,19.0
CORN,CHICAGO BOARD OF TRADE,"April 29, 2025",,Other,543688,-164054,-79150,-112577,-3001,-2399,-6048,-26985,19300,-23441,-11691,-13562,-11471,140241,248903,86512,27523,21075,116574,92614,17696,106231,50302,14947,133.0,292.0,17.0,14.0,8.0,47.0,37.0,24.0,42.0,58.0,26.0,24.0,18.2,32.9,26.3,24.0,18.0,32.1,25.4
ROUGH RICE,CHICAGO BOARD OF TRADE,"April 29, 2025",,All,11918,-103,-723,-1161,0,11,0,21,597,164,315,195,-127,5865,2034,0,147,0,280,5814,165,2175,869,654,16.0,13.0,0.0,,0.0,,21.0,,18.0,7.0,6.0,29.2,27.8,44.8,42.1,29.2,27.8,44.0,41.8
